trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode,pred
2019-01-01 14:13:20,6011381817520024,fraud_Flatley Group,misc_pos,6.76,Kristen,Allen,F,8619 Lisa Manors Apt. 871,Lagrange,WY,82221,41.6423,-104.1974,635,Product/process development scientist,1973-07-13,b0eb5b54e67cef86627bff68103daa28,1325427200,41.682194,-103.776368,0,69345.0,0
2019-01-01 15:48:32,2286236465059468,fraud_Morissette LLC,entertainment,72.23,Morgan,Murray,F,2788 Brittney Island,Blairstown,MO,64726,38.5319,-93.9221,467,Agricultural consultant,1950-05-27,f2f1a4945fc6b5f84822f6ea1dd8e7b3,1325432912,38.588127,-94.36268,0,64701.0,0
2019-01-01 02:22:54,4239552724014407,fraud_Conroy-Cruickshank,gas_transport,119.47,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141000000000005,-84.5722,6284,Secondary school teacher,1936-03-27,876d3955190af400d69a01a79a7dbceb,1325384574,41.746779,-84.601964,0,43554.0,0
2019-04-03 03:24:09,38588538868506,fraud_Lynch Ltd,shopping_pos,895.53,Jacqueline,Curry,F,3047 Jeff Place,Marathon,TX,79842,30.1886,-103.2214,498,Lexicographer,1990-11-23,4ddfce0bedd16024f55be7b0c6bf1228,1333423449,30.9186,-102.731668,1,79735.0,1
2019-02-28 22:02:41,4642894980163,fraud_Conroy Ltd,shopping_pos,747.73,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,82570b138d1b77528cfc7cb462dea74c,1330466561,41.344617,-95.772551,1,51526.0,1
2019-01-01 15:10:04,30407675418785,fraud_Predovic Inc,shopping_net,6.5,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,1991-10-13,bcbd7d0179d05e322dfe3b83511dcfe8,1325430604,42.535687,-77.393923,0,14808.0,0
2019-01-12 23:57:00,4666314527820883145,"fraud_Kihn, Abernathy and Douglas",shopping_net,1116.8,Guy,Thompson,M,5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202,"Solicitor, Scotland",1974-06-21,cad6a618cba464438b5566597933f870,1326412620,41.192006,-99.230584,1,68855.0,1
2019-03-22 22:34:04,2720830304681674,fraud_Altenwerth-Kilback,home,258.26,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.34899999999999,151785,Pathologist,1974-03-28,177a93f45abcf26623176687c4b71ecb,1332455644,35.71937,-87.293215,1,38454.0,0
2019-04-11 23:39:33,4393520897625,fraud_Mohr-Bayer,shopping_net,970.76,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020,39.3391,-95.0999,1442,Air broker,1982-05-20,0f485f4d350e5e12e4c0e450ec5aeec9,1334187573,39.552561,-95.649264,1,66552.0,1
2019-01-01 02:58:51,4710792708725663,fraud_Bins-Rice,gas_transport,43.83,Justin,Bell,M,954 Green Wall,Churubusco,IN,46723,41.229,-85.3244,7692,"Research officer, trade union",1986-12-13,883e9eddbf60cd5e3553514a45a548c6,1325386731,40.913327,-85.920254,0,46974.0,0
2019-01-01 23:49:28,675990301623,fraud_Daugherty-Thompson,food_dining,5.83,Amanda,Spencer,F,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,c5ed7e5ff7edcb506e2af2c1016f325d,1325461768,41.675321,-73.989317,0,12547.0,0
2019-04-16 22:21:13,6550399784335736,fraud_Haag-Blanda,food_dining,119.29,Harry,Mckee,M,95351 Sullivan Viaduct Apt. 239,Port Charlotte,FL,33981,26.9379,-82.2388,79008,Quantity surveyor,1984-08-31,43884db15dadcee21e32b49b2b820c36,1334614873,26.074652,-82.956559,1,,0
2019-03-16 22:53:25,4355790796238264643,fraud_Kiehn-Emmerich,grocery_pos,276.21,Tanner,Davis,M,2632 Stevens Light Apt. 213,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,1969-08-04,c89e3808ea9fe42a48a9f4f11bd85c4a,1331938405,39.39454,-91.141129,1,63334.0,0
2019-04-29 23:55:33,4079773899158,fraud_Huel-Langworth,misc_net,965.16,Eric,Preston,M,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1965-12-15,ba01001e2dae4d08ac02fae8a32f2bd4,1335743733,44.962783,-116.48154,1,83612.0,1
2019-02-25 23:07:41,213186551511454,"fraud_Schmeler, Bashirian and Price",shopping_net,907.95,Cody,Dean,M,737 Thomas Wall Apt. 502,West Bethel,ME,4286,44.402,-70.8601,47,Chief Operating Officer,1951-03-31,831055be4faa1f90fc95f2d0ff5df135,1330211261,43.933134,-71.410576,1,3259.0,1
2019-01-02 19:03:24,6011542681743618,fraud_Grimes LLC,entertainment,61.02,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,c6532f77b7c07df3acf1a3253f07c702,1325531004,37.820773,-78.642397,0,22937.0,0
2019-01-01 09:55:04,213112402583773,fraud_Conroy-Cruickshank,gas_transport,58.78,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,855dd4fa496bffc48da8ea9e3ad1ef5a,1325411704,34.380163,-82.83515899999999,0,30643.0,0
2019-01-07 04:34:48,3597980945245815,"fraud_Schumm, Bauch and Ondricka",grocery_pos,300.14,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,71832,34.0442,-94.3386,11253,"Scientist, biomedical",1957-04-25,47940b7992cca6310182d5e7805c3128,1325910888,33.205504,-93.710845,1,71839.0,0
2019-02-08 22:25:23,180017442990269,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,942.03,Michelle,Anderson,F,28311 Dennis Trace,Albany,NY,12222,42.6853,-73.8253,151022,"Designer, textile",1939-06-01,5e503ac927d57cc406af1be41e4c0ff8,1328739923,41.944898,-74.820365,1,12758.0,0
2019-03-10 23:34:18,3567879740649740,"fraud_Rippin, Kub and Mann",misc_net,652.76,Tanya,Williams,F,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,64b145f9f9881a85dd49ef4939f274e6,1331422458,44.176232,-76.016551,1,13656.0,1
2019-01-01 23:11:27,3559723917628303,fraud_Klein Group,entertainment,80.42,Matthew,Huerta,M,622 Williams Trafficway,Ringwood,IL,60072,42.4048,-88.3054,928,Outdoor activities/education manager,1985-05-13,03db3821964b2f2fdcb21c421ffcd89b,1325459487,41.874797,-88.918287,0,60150.0,0
2019-01-02 10:33:19,3547560454237873,fraud_Christiansen-Gusikowski,misc_pos,4.55,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",1966-12-21,b342d33c6c1cf232d1b1cca1946c8d9f,1325500399,44.74255,-85.91362600000001,0,49650.0,0
2019-01-01 09:01:49,2706977570537524,fraud_Mraz-Herzog,gas_transport,72.42,David,Serrano,M,4739 Martin Common,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,1978-12-18,9e3c257ebd98736fcb120e55fa2456b1,1325408509,38.684289,-82.098975,0,25502.0,0
